English,Hepburn,Kana,Frequency,Shortened/changed spelling,Different Meaning
,hiiru,ヒール,125409,,
,fantajii,ファンタジー,124987,,
,hippu,ヒップ,124879,,
,jieru,ジェル,124719,,
,yoga,ヨガ,124696,,
,kizzu,キッズ,124597,,
,pa,パ,124492,,
,rii,リー,124138,,
,piasu,ピアス,124097,,
,kontakuto,コンタクト,124079,,
,pooto,ポート,123952,,
,sapurimento,サプリメント,123866,,
,puragu,プラグ,123841,,
,kurisutaru,クリスタル,123643,,
,maria,マリア,123214,,
,gyaru,ギャル,123015,,
,fasunaa,ファスナー,122942,,
,dei,デイ,122902,,
,hinto,ヒント,122872,,
,oora,オーラ,122703,,
,anpu,アンプ,122580,,
,hame,ハメ,122355,,
,puremiamu,プレミアム,122143,,
,men,メン,122064,,
,shiea,シェア,121924,,
,wota,ヲタ,121831,,
,shorudaa,ショルダー,121743,,
,kusshon,クッション,121612,,
,sensaa,センサー,121571,,
,maru,マル,121405,,
,denimu,デニム,121373,,
,suraido,スライド,121371,,
,opera,オペラ,120945,,
,naifu,ナイフ,120723,,
,bookaru,ボーカル,120430,,
,medaru,メダル,120429,,
,endingu,エンディング,120300,,
,konkuriito,コンクリート,120147,,
,akusento,アクセント,120136,,
,puri,プリ,120004,,
,uea,ウェア,119946,,
,furoa,フロア,119472,,
,mootaa,モーター,119470,,
,foruda,フォルダ,119402,,
,noomaru,ノーマル,119396,,
,iraku,イラク,119184,,
,ruupu,ループ,118146,,
,tootaru,トータル,118140,,
,reji,レジ,118127,,
,rakku,ラック,117818,,
,wakuwaku,ワクワク,117648,,
,maikeru,マイケル,117514,,
,saikuru,サイクル,117355,,
,boisu,ボイス,116618,,
,doroppu,ドロップ,116559,,
,inpuranto,インプラント,116331,,
,manko,マンコ,116077,,
,kikku,キック,116063,,
,manejimento,マネジメント,115917,,
,buusu,ブース,115846,,
,korabo,コラボ,115754,,
,kuro,クロ,115649,,
,yo,ヨ,115475,,
,suisu,スイス,115219,,
,sukeeru,スケール,114905,,
,uddo,ウッド,114786,,
,gurippu,グリップ,114712,,
,reeru,レール,114710,,
,appuru,アップル,114659,,
,desuku,デスク,114424,,
,tento,テント,114381,,
,di,ディ,114277,,
,pasuwaado,パスワード,114188,,
,baree,バレエ,114017,,
,panchi,パンチ,114011,,
,gia,ギア,113814,,
,sukai,スカイ,113540,,
,bare,バレ,113484,,
,kyasshu,キャッシュ,113427,,
,purodeyuusaa,プロデューサー,113404,,
,kawaii,カワイイ,113401,,
,amerikan,アメリカン,113273,,
,po,ポ,113252,,
,son,ソン,113246,,
,mooru,モール,113187,,
,kuoritei,クオリティ,113167,,
,sekando,セカンド,113064,,
,suteeshon,ステーション,113004,,
,dotto,ドット,112472,,
,sooru,ソール,112241,,
,yabai,ヤバイ,111977,,
,afirieito,アフィリエイト,111753,,
,horudaa,ホルダー,111650,,
,purodeyuusu,プロデュース,111639,,
,gurafikku,グラフィック,111560,,
,daibingu,ダイビング,111534,,
,toon,トーン,111345,,
,biniiru,ビニール,111323,,
,tsukkomi,ツッコミ,111145,,
,sutoriito,ストリート,110990,,
,sebun,セブン,110870,,
,beeju,ベージュ,110645,,
,kuizu,クイズ,110423,,
,roopu,ロープ,110398,,
,uei,ウェイ,110245,,
,booi,ボーイ,110232,,
